ticker,exchange,assetType,priceCurrency,startDate,endDate
CMPI,NASDAQ,Stock,USD,8/7/20,8/11/20
FRLN,NASDAQ,Stock,USD,8/7/20,8/11/20
IBEX,NASDAQ,Stock,USD,8/7/20,8/11/20
VMACU,NASDAQ,Stock,USD,8/7/20,8/11/20
AFIB,NASDAQ,Stock,USD,8/6/20,8/11/20
GRSVU,NASDAQ,Stock,USD,8/6/20,8/11/20
KSMTU,NASDAQ,Stock,USD,8/6/20,8/11/20
MLACW,NASDAQ,Stock,USD,8/6/20,8/11/20
BIGC,NASDAQ,Stock,USD,8/5/20,8/11/20
BOWXU,NASDAQ,Stock,USD,8/5/20,8/11/20
HOLUU,NASDAQ,Stock,USD,8/5/20,8/11/20
RXT,NASDAQ,Stock,USD,8/5/20,8/11/20
HSAQ,NASDAQ,Stock,USD,8/4/20,8/11/20
ETACU,NASDAQ,Stock,USD,7/31/20,8/11/20
FTHM,NASDAQ,Stock,USD,7/31/20,8/11/20
NHICU,NASDAQ,Stock,USD,7/31/20,8/11/20
VITL,NASDAQ,Stock,USD,7/31/20,8/11/20
VSTA,NASDAQ,Stock,USD,7/31/20,8/11/20
ALVR,NASDAQ,Stock,USD,7/30/20,8/11/20
ARYB,NASDAQ,Stock,USD,7/30/20,8/11/20
ARYBW,NASDAQ,Stock,USD,7/30/20,8/11/20
EDOC,NASDAQ,Stock,USD,7/30/20,8/11/20
HEC,NASDAQ,Stock,USD,7/30/20,8/11/20
HECCW,NASDAQ,Stock,USD,7/30/20,8/11/20
RMRM,NASDAQ,Stock,USD,7/30/20,8/11/20
VERX,NASDAQ,Stock,USD,7/29/20,8/11/20
ACEVU,NASDAQ,Stock,USD,7/28/20,8/11/20
ANNX,NASDAQ,Stock,USD,7/24/20,8/11/20
GRCYU,NASDAQ,Stock,USD,7/24/20,8/11/20
INZY,NASDAQ,Stock,USD,7/24/20,8/11/20
ITOS,NASDAQ,Stock,USD,7/24/20,8/11/20
NRIX,NASDAQ,Stock,USD,7/24/20,8/11/20
EDTK,NASDAQ,Stock,USD,7/23/20,8/11/20
ERESU,NASDAQ,Stock,USD,7/23/20,8/11/20
BRLIR,NASDAQ,Stock,USD,7/22/20,8/11/20
BRLIW,NASDAQ,Stock,USD,7/22/20,8/11/20
JAMF,NASDAQ,Stock,USD,7/22/20,8/11/20
PSACU,NASDAQ,Stock,USD,7/22/20,8/11/20
CSSEN,NASDAQ,Stock,USD,7/21/20,8/11/20
ALXO,NASDAQ,Stock,USD,7/17/20,8/11/20
BLI,NASDAQ,Stock,USD,7/17/20,8/11/20
DFHTU,NASDAQ,Stock,USD,7/17/20,8/11/20
PAND,NASDAQ,Stock,USD,7/17/20,8/11/20
RNLX,NASDAQ,Stock,USD,7/17/20,8/11/20
RLAY,NASDAQ,Stock,USD,7/16/20,8/11/20
GOCO,NASDAQ,Stock,USD,7/15/20,8/11/20
MLACU,NASDAQ,Stock,USD,7/15/20,8/11/20
AACQU,NASDAQ,Stock,USD,7/14/20,8/11/20
EDUT,NASDAQ,Stock,USD,7/14/20,8/11/20
FATBP,NASDAQ,Stock,USD,7/14/20,8/11/20
FATBW,NASDAQ,Stock,USD,7/14/20,8/11/20
NCNO,NASDAQ,Stock,USD,7/14/20,8/11/20
ROCH,NASDAQ,Stock,USD,7/14/20,8/11/20
